seed,reward_type,n_timesteps,elapsed_seconds,mean_return,std_return,success_rate,mean_fuel
2,dense,2000000,1069.4030349254608,227.82738878808425,44.913097286802284,0.86,227.61
3,dense,2000000,972.3715085983276,263.99820250996095,36.0245673341381,0.92,128.13
4,dense,2000000,992.7694311141968,256.1801104604638,42.4946477290925,0.8,135.61
1,dense,2000000,960.1615891456604,263.88915701133556,27.91229916987554,0.8,125.81
0,dense,2000000,976.570659160614,219.873066706131,82.91943428716593,0.8,168.74
1,sparse,2000000,863.2290811538696,35.306099999999994,93.30056423082338,0.68,5.52
0,sparse,2000000,895.258623123169,31.285399999999992,94.7533012661828,0.66,59.95
2,sparse,2000000,878.7422533035278,41.227199999999996,90.76027897797582,0.71,60.61
3,sparse,2000000,901.5830209255219,65.1005,75.10308874307368,0.83,78.04
4,sparse,2000000,863.5389635562897,23.146099999999997,97.2096697031216,0.62,37.17
